# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  46.112  0.127    1.266   40.279   49.971  126.009   23.515   6.49  0.00  4   49.003   23.791   6.77 0.69  8.80537  19.1565  2.50956  0.70583 L7a-sm h         
  46.339  0.165   19.843   38.688   39.283  340.861   24.204   8.23  0.00  2   38.292   24.138   8.16 0.06 22.62428   2.9323  2.88916 -1.38574 L5r-sm h         
  44.099  0.067    3.949   41.126   44.521   94.315   23.668   7.17  0.00  4   43.544   23.869   7.37 0.72  5.06528  23.0903  2.90074 -0.31786 L3w-sm c         
  43.920  0.069    2.915   40.889   40.991  345.919   23.265   7.08 -0.80  4   40.015   24.108   7.92 0.86 22.09952 -13.1840  2.71491 -1.06689 presur c         
  44.566  0.110    1.292   39.686   42.146   54.858   23.623   7.32 -0.80  3   41.164   24.543   8.24 0.77 22.01917 -13.5098  2.68378 -1.01175 presur f         
  45.962  0.145    2.252   39.274   41.345   40.282   23.885   7.71  0.00  4   40.366   24.129   7.95 0.64  9.17040  17.9490  2.95531  0.91396 L5c-sm f         
  44.013  0.131   13.327   38.252   42.413  293.305   24.267   7.96  0.00  2   41.413   24.818   8.51 0.17 19.05991 -23.5528  2.88207 -0.45441 L4m-sm h         
  42.963  0.020    2.962   42.112   42.260  326.701   24.065   7.79  0.00  4   41.281   23.926   7.65 0.56  9.15346  18.1132  2.91212  0.90314 L5c-sm f         
  43.977  0.043    2.621   42.086   44.214  265.154   24.100   7.59 -0.80  1   43.232   24.819   8.31 0.34 21.99238 -13.1962  2.58025 -0.98226 presur c         
  43.002  0.026    1.769   41.896   42.436   57.801   24.205   7.88  0.00  2   41.452   24.191   7.87 0.20 13.51247  -8.2220  2.71711  1.07049 L4h-sm f         
  45.524  0.094    4.040   41.240   42.517   41.540   23.673   7.36  0.00  4   41.525   24.006   7.69 0.69 13.68296  -9.0291  2.75423  1.00849 L4h-sm f         
  42.427  0.048    3.224   40.407   41.741  292.517   24.484   8.29  0.00  2   40.755   24.323   8.13 0.22  9.40356  15.5196  2.94528  0.99084 L5c-sm f         
  45.844  0.094    2.202   41.549   43.354  309.760   24.580   8.18  0.00  2   42.378   24.410   8.01 0.18  2.32428  15.2132  2.75372 -0.98401 L4v-sm f         
  44.358  0.048    2.244   42.228   46.486  177.629   22.995   6.26 -0.70  4   45.525   23.618   6.88 0.81 13.08420  -8.3510  2.41497  1.03721 L3h-sm f         
  44.053  0.053    3.720   41.696   43.540   74.518   24.366   7.92 -0.80  1   42.562   25.197   8.75 0.08 22.07305 -13.5021  2.58814 -1.02075 presur c         
  44.576  0.033    3.655   43.096   45.811  214.560   23.903   7.27  0.00  4   44.811   24.367   7.73 0.66 15.45237 -18.7186  2.64790  0.70309 L4k-sm f         
  42.752  0.020    2.492   41.880   42.174  312.109   23.636   7.34  0.00  4   41.182   23.771   7.48 0.65 20.89913 -17.9222  2.79056 -0.81283 L4p-sm f         
  42.967  0.068    1.252   40.050   40.617   34.127   24.256   8.12 -0.80  1   39.629   24.955   8.82 0.17 21.89012 -12.9536  2.81678 -1.00155 presur f         
  44.360  0.042    2.101   42.492   42.880   36.067   23.909   7.56  0.00  4   41.879   24.359   8.01 0.66 15.45555 -19.7559  2.81300  0.70303 L4k-sm c         
  45.522  0.126    3.566   39.809   45.154  280.876   23.560   6.95 -0.70  4   44.189   24.389   7.78 0.57 13.13980  -8.4382  2.48339  1.07146 L3h-sm f         
  46.801  0.181    3.609   38.340   38.632  347.544   23.450   7.52 -0.80  4   37.654   24.640   8.71 0.83 22.07261 -13.1273  2.84272 -1.12208 presur f         
  43.328  0.031    2.551   41.984   44.604  160.882   23.692   7.15  0.00  3   43.625   24.153   7.61 0.68 13.43851  -7.3866  2.59887  0.99415 L4h-sm f         
  46.328  0.056    1.527   43.748   45.727   73.492   24.137   7.48 -0.80  1   44.750   24.729   8.07 0.30 22.07340 -13.1566  2.47950 -0.94924 presur f         
  42.965  0.053    2.106   40.705   45.051  156.154   23.930   7.32 -0.70  1   44.099   24.480   7.87 0.15 12.97980  -7.6558  2.45527  1.06460 L3h-sm f         
  44.567  0.119    3.673   39.259   39.456  346.215   24.323   8.32  0.00  1   38.470   24.200   8.20 0.05 14.97798 -16.4049  2.97005  0.84108 L4j-sm f         
  44.081  0.067    1.487   41.127   41.143  354.556   24.225   8.04  0.00  4   40.152   24.024   7.84 0.51 15.25972 -19.2462  2.86218  0.80086 L4k-sm c         
  44.016  0.042    1.362   42.171   44.941  242.028   24.144   7.60  0.00  3   43.965   24.194   7.65 0.50  5.01033  23.0669  2.87347 -0.28557 L3w-sm c         
  44.282  0.077    6.277   40.890   41.022  344.984   22.951   6.77  0.00  4   40.031   23.077   6.90 0.59 19.24185 -22.7288  2.91266 -0.44455 L4m-sm c         
  45.924  0.104    1.889   41.129   50.397  203.255   23.955   6.87 -0.70  2   49.435   24.555   7.47 0.13 13.14244  -7.3562  2.26488  0.94618 L3h-sm f         
  42.550  0.023    0.763   41.571   41.585  349.870   23.137   6.91  0.00  4   40.620   23.178   6.95 0.79  8.84086  17.7624  2.93869  0.83056 L7a-sm f         
