# Seed:  123456789
#
# Creation time: 2020-04-24T09:18:37.000  +0200
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
#
#   a      e        i        q        r        M       node     peri  m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    Surv. Comments
  45.943  0.021    0.119   44.955   46.711  219.735  269.011  106.859  24.48   7.75  0.00  2   45.713   24.293   7.57 0.24 15.43016 -18.8025 L4k-smooth f         
  43.110  0.039    1.350   41.416   42.185   54.983   96.469   37.774  24.09   7.80  0.00  2   41.203   23.883   7.60 0.07 12.84814  -3.9644 L3f-smooth f         
  44.915  0.015    0.577   44.224   44.923  270.394  227.733  293.826  24.37   7.79  0.00  2   43.967   24.165   7.59 0.26  4.55195  21.7104 L3w-smooth f         
  44.935  0.174   12.798   37.130   51.952  210.287  306.108  336.642  24.01   6.82  0.00  2   50.983   24.037   6.85 0.36  8.48553  19.3786 L7a-smooth h         
  45.293  0.116    0.811   40.026   41.868  315.641  172.159   78.301  24.03   7.74 -0.70  1   40.923   24.418   8.12 0.07 12.94647  -5.7095 L3h-smooth f         
  44.968  0.049    2.587   42.760   42.893  340.782   35.243   30.712  24.18   7.87  0.00  3   41.904   24.228   7.92 0.57  2.80737  16.6693 L4v-smooth f         
  45.066  0.071    2.836   41.852   46.739  242.112  207.454  148.605  23.38   6.63  0.00  4   45.772   23.436   6.68 0.74 15.29739 -17.0268 L4j-smooth f         
  43.792  0.081    5.941   40.245   41.756   51.160   25.812  113.957  22.82   6.54 -0.70  4   40.795   23.524   7.25 0.84 13.14109  -6.4504 L3h-smooth f         
  40.549  0.093   40.982   36.782   38.900   59.246   45.360  114.342  23.79   7.83  0.00  3   37.927   24.032   8.07 0.69 14.95258 -19.1338 L4k-smooth h         
  43.704  0.058    1.050   41.191   45.601  136.948   98.121   88.654  23.34   6.70 -0.80  4   44.622   24.237   7.59 0.85 22.05230 -12.8229 presurvey- f         
  45.116  0.052    2.853   42.775   47.373  163.736    2.773   32.115  23.35   6.53 -0.70  4   46.405   24.083   7.27 0.70 13.19843  -8.5628 L3h-smooth f         
  44.209  0.106    5.043   39.509   41.477  310.545  127.789   71.029  23.77   7.60  0.00  4   40.491   24.021   7.86 0.68  9.46320  16.0448 L5c-smooth f         
  41.880  0.054   33.227   39.636   39.751  342.385  128.278   18.377  23.78   7.76  0.00  4   38.778   23.788   7.77 0.57  8.64662  17.7379 L7a-smooth h         
  40.708  0.096   19.034   36.816   39.323   64.000  130.828  289.177  24.48   8.51  0.00  2   38.345   24.304   8.34 0.22  9.11868  17.7616 L5c-smooth h         
  43.069  0.073    1.524   39.912   42.652  281.794  131.599  161.798  23.78   7.45  0.00  3   41.660   24.170   7.84 0.64 13.68203  -8.8537 L4h-smooth f         
  46.638  0.086    3.003   42.645   44.015  314.813  179.873   78.344  23.55   7.07  0.00  4   43.027   23.813   7.34 0.74 13.59194  -8.5270 L4h-smooth f         
  45.829  0.213   16.839   36.068   47.215   86.073  229.521  248.796  22.08   5.28  0.00  4   46.237   22.096   5.30 0.90 15.04183 -17.5442 L4k-smooth h         
  40.302  0.107   14.424   35.974   38.785   63.701   48.110  106.668  23.86   7.92  0.00  4   37.800   24.018   8.08 0.67 15.14040 -18.1564 L4k-smooth h         
  43.091  0.025    4.096   42.031   44.135  169.577  259.953  161.766  24.82   8.33  0.00  2   43.144   24.539   8.05 0.01 15.24032 -20.0650 L4k-smooth f         
  44.375  0.032    6.350   42.937   43.215   35.004   66.925  326.997  23.99   7.59  0.00  4   42.256   24.223   7.82 0.60  4.61047  22.5368 L3w-smooth c         
  43.820  0.034    0.799   42.343   45.295  183.620   34.047  338.743  23.88   7.25 -0.70  1   44.347   24.406   7.77 0.20 12.97290  -5.9628 L3h-smooth c         
  46.378  0.147    2.507   39.551   39.552   -1.613  353.908  334.837  23.74   7.71 -0.80  3   38.567   24.924   8.90 0.70 21.97115 -13.6435 presurvey- f         
  46.494  0.034    3.266   44.904   45.249   37.157   19.311  169.498  23.72   7.11  0.00  3   44.272   23.593   6.98 0.71 15.00602 -18.7598 L4k-smooth f         
  45.918  0.143    3.639   39.343   39.351  356.933  133.600  197.425  24.15   8.17  0.00  1   38.359   23.896   7.91 0.32 21.94116 -13.4585 L3q-smooth f         
  46.743  0.117    4.694   41.270   43.776  308.496   25.795  239.248  23.92   7.45  0.00  4   42.801   23.686   7.22 0.54 13.34766  -8.1840 L4h-smooth f         
  43.755  0.086    4.155   40.005   42.964  287.021  116.014  102.180  23.18   6.84  0.00  4   41.983   23.272   6.93 0.79  9.21889  17.5823 L5c-smooth f         
  45.014  0.019    2.119   44.168   44.176  354.108  115.937   28.021  24.15   7.71  0.00  3   43.191   24.137   7.69 0.51  9.36290  16.2843 L5c-smooth f         
  43.112  0.075    4.092   39.875   44.628  114.096   50.326   26.518  23.40   6.83 -0.70  4   43.668   24.182   7.62 0.67 13.17247  -5.0801 L3h-smooth f         
  43.506  0.075    0.204   40.239   41.310   44.496   42.310   16.226  24.28   8.05  0.00  1   40.372   24.499   8.27 0.18  7.43742  22.1543 L3y-smooth f         
  45.355  0.178   11.509   37.286   37.559  347.691  196.395   19.945  22.90   7.08 -0.70  4   36.599   23.518   7.70 0.83 13.11697  -6.6570 L3h-smooth h         
  46.112  0.127    1.266   40.279   49.971  126.009   28.917  323.484  23.52   6.49  0.00  4   49.003   23.791   6.77 0.69  8.80537  19.1565 L7a-smooth h         
  46.339  0.165   19.843   38.688   39.283  340.861  192.929  174.339  24.20   8.22  0.00  2   38.292   24.138   8.16 0.07 22.62428   2.9323 L5r-smooth h         
  44.099  0.067    3.949   41.126   44.521   94.315  261.174   74.138  23.67   7.17  0.00  4   43.544   23.869   7.37 0.72  5.06528  23.0903 L3w-smooth c         
  43.920  0.069    2.915   40.889   40.991  345.919  120.541  224.126  23.27   7.08 -0.80  4   40.015   24.108   7.92 0.86 22.09952 -13.1840 presurvey- c         
  44.566  0.110    1.292   39.686   42.146   54.858   68.649  192.714  23.62   7.32 -0.80  3   41.164   24.543   8.24 0.77 22.01917 -13.5098 presurvey- f         
  45.962  0.145    2.252   39.274   41.345   40.282   91.981  350.127  23.88   7.71  0.00  4   40.366   24.129   7.95 0.64  9.17040  17.9490 L5c-smooth f         
  44.013  0.131   13.327   38.252   42.413  293.305  100.537  265.132  24.27   7.96  0.00  2   41.413   24.818   8.51 0.17 19.05991 -23.5528 L4m-smooth h         
  42.963  0.020    2.962   42.112   42.260  326.701  101.464   67.638  24.03   7.75  0.00  4   41.281   23.926   7.65 0.58  9.15346  18.1132 L5c-smooth f         
  43.977  0.043    2.621   42.086   44.214  265.154  128.174  298.618  24.00   7.49 -0.80  3   43.232   24.819   8.31 0.46 21.99238 -13.1962 presurvey- c         
  43.002  0.026    1.769   41.896   42.436   57.801  163.566  340.437  24.18   7.86  0.00  2   41.452   24.191   7.87 0.23 13.51247  -8.2220 L4h-smooth f         
  45.524  0.094    4.040   41.240   42.517   41.540   45.929  111.586  23.67   7.36  0.00  4   41.525   24.006   7.69 0.69 13.68296  -9.0291 L4h-smooth f         
  42.427  0.048    3.224   40.407   41.741  292.517  134.069   77.176  24.41   8.22  0.00  2   40.755   24.323   8.13 0.29  9.40356  15.5196 L5c-smooth f         
  45.844  0.094    2.202   41.549   43.354  309.760  250.703  206.250  24.61   8.21  0.00  2   42.378   24.410   8.01 0.15  2.32428  15.2132 L4v-smooth f         
  44.358  0.048    2.244   42.228   46.486  177.629  233.718  146.980  22.96   6.22 -0.70  4   45.525   23.618   6.88 0.82 13.08420  -8.3510 L3h-smooth f         
  44.053  0.053    3.720   41.696   43.540   74.518  123.811  123.729  24.30   7.85 -0.80  1   42.562   25.197   8.75 0.13 22.07305 -13.5021 presurvey- c         
  44.576  0.033    3.655   43.096   45.811  214.560  232.975  148.899  23.90   7.27  0.00  4   44.811   24.367   7.73 0.66 15.45237 -18.7186 L4k-smooth f         
  42.752  0.020    2.492   41.880   42.174  312.109  121.192  239.665  23.64   7.34  0.00  4   41.182   23.771   7.48 0.65 20.89913 -17.9222 L4p-smooth f         
  42.967  0.068    1.252   40.050   40.617   34.127  331.518  315.393  24.32   8.18 -0.80  1   39.629   24.955   8.82 0.12 21.89012 -12.9536 presurvey- f         
  44.360  0.042    2.101   42.492   42.880   36.067   29.782  165.852  23.91   7.56  0.00  4   41.879   24.359   8.01 0.66 15.45555 -19.7559 L4k-smooth c         
  45.522  0.126    3.566   39.809   45.154  280.876  216.677   76.167  23.56   6.95 -0.70  4   44.189   24.389   7.78 0.57 13.13980  -8.4382 L3h-smooth f         
  46.801  0.181    3.609   38.340   38.632  347.544  129.066  217.225  23.45   7.52 -0.80  4   37.654   24.640   8.71 0.83 22.07261 -13.1273 presurvey- f         
  43.328  0.031    2.551   41.984   44.604  160.882   59.563  341.415  23.69   7.15  0.00  3   43.625   24.153   7.61 0.68 13.43851  -7.3866 L4h-smooth f         
  46.328  0.056    1.527   43.748   45.727   73.492   95.522  152.923  24.32   7.66 -0.80  1   44.750   24.729   8.07 0.11 22.07340 -13.1566 presurvey- f         
  42.965  0.053    2.106   40.705   45.051  156.154  233.173  165.267  23.98   7.37 -0.70  1   44.099   24.480   7.87 0.11 12.97980  -7.6558 L3h-smooth f         
  44.567  0.119    3.673   39.259   39.456  346.215   54.675  189.584  24.35   8.35  0.00  1   38.470   24.200   8.20 0.04 14.97798 -16.4049 L4j-smooth f         
  44.081  0.067    1.487   41.127   41.143  354.556  278.926  319.224  24.43   8.25  0.00  2   40.152   24.024   7.84 0.30 15.25972 -19.2462 L4k-smooth c         
  44.016  0.042    1.362   42.171   44.941  242.028   62.928  135.707  24.14   7.60  0.00  3   43.965   24.194   7.65 0.50  5.01033  23.0669 L3w-smooth c         
  44.282  0.077    6.277   40.890   41.022  344.984  103.351  201.012  22.95   6.77  0.00  4   40.031   23.077   6.90 0.59 19.24185 -22.7288 L4m-smooth c         
  45.924  0.104    1.889   41.129   50.397  203.255  201.044  158.857  23.88   6.79 -0.70  2   49.435   24.555   7.47 0.21 13.14244  -7.3562 L3h-smooth f         
  42.550  0.023    0.763   41.571   41.585  349.870  125.220   15.262  23.14   6.91  0.00  4   40.620   23.178   6.95 0.79  8.84086  17.7624 L7a-smooth f         
