# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  44.555  0.073    1.950   41.303   43.745   71.584   23.907   7.44 -0.80  3   42.764   25.214   8.75 0.56 22.02337 -13.8602  2.59701 -0.99331 presur f         
  43.148  0.020    3.352   42.298   42.968   76.407   23.076   6.75  0.00  4   41.984   23.290   6.96 0.80  9.31854  16.3594  2.87111  0.94471 L5c-sm f         
  42.967  0.068    1.252   40.050   40.617   34.128   23.865   7.73 -0.80  3   39.629   24.955   8.82 0.60 21.89024 -12.9529  2.81713 -1.00170 presur f         
  42.638  0.034    0.701   41.210   42.057  295.814   24.767   8.47  0.00  2   41.085   24.445   8.15 0.00 15.22170 -17.3520  2.77653  0.76737 L4j-sm f         
  46.714  0.043    1.378   44.696   44.780  343.787   23.684   7.12  0.00  4   43.800   23.724   7.16 0.63 20.72117 -19.0330  2.61089 -0.70011 L4p-sm f         
  44.360  0.042    2.101   42.492   42.880   36.067   24.635   8.29  0.00  1   41.879   24.359   8.01 0.07 15.45555 -19.7559  2.81335  0.70314 L4k-sm c         
  45.522  0.126    3.566   39.809   45.154  280.877   23.689   7.08 -0.70  4   44.189   24.389   7.78 0.44 13.13986  -8.4385  2.48372  1.07157 L3h-sm f         
  44.002  0.067    0.656   41.072   41.494  330.745   24.159   7.93  0.00  2   40.503   24.237   8.01 0.20 19.24713 -22.4743  2.88981 -0.38046 L4m-sm f         
  42.647  0.035    0.516   41.133   41.147  353.366   23.484   7.29  0.00  4   40.171   24.316   8.12 0.76 13.34931  -8.9327  2.75300  1.11755 L4h-sm f         
  44.081  0.067    1.487   41.127   41.143  354.556   24.068   7.88  0.00  4   40.152   24.024   7.84 0.60 15.25972 -19.2462  2.86256  0.80095 L4k-sm c         
  42.407  0.039    2.762   40.749   40.824   16.994   23.709   7.54 -0.80  3   39.843   24.345   8.18 0.72 22.02149 -13.2350  2.75770 -1.06153 presur f         
  44.016  0.042    1.362   42.171   44.941  242.028   24.062   7.52  0.00  3   43.965   24.194   7.65 0.56  5.01035  23.0669  2.87380 -0.28560 L3w-sm c         
  44.448  0.170   38.099   36.910   37.243  345.690   23.124   7.36  0.00  4   36.254   23.340   7.58 0.55 19.35501 -23.7227  3.24643 -0.87476 L4o-sm h         
  44.282  0.077    6.277   40.890   41.022  344.983   23.268   7.09  0.00  4   40.031   23.077   6.90 0.52 19.24185 -22.7288  2.91307 -0.44456 L4m-sm c         
  45.924  0.104    1.889   41.129   50.397  203.256   23.695   6.61 -0.70  3   49.435   24.555   7.47 0.44 13.14249  -7.3565  2.26514  0.94627 L3h-sm f         
  44.279  0.046    3.284   42.220   42.336   18.665   23.408   7.14  0.00  3   41.350   23.420   7.15 0.80  2.64449  15.2021  2.89631 -0.89624 L4v-sm c         
  45.222  0.132    4.034   39.234   43.067   61.794   24.254   7.92  0.00  4   42.082   24.313   7.98 0.44  9.41100  16.5435  2.85475  0.96499 L5c-sm f         
  45.316  0.145    0.638   38.759   39.349  338.884   23.895   7.90  0.00  4   38.370   23.764   7.77 0.48 23.44612  -2.8968  2.83382 -1.22631 L3s-sm f         
  44.575  0.048    1.061   42.435   45.044   99.958   24.294   7.68  0.00  2   44.124   24.205   7.59 0.35  4.05109  21.5501  2.62369 -0.53119 L3w-sm f         
  43.834  0.098    2.606   39.534   39.535  358.034   22.953   6.95  0.00  4   38.568   23.056   7.05 0.82  8.54986  20.1110  3.08013  0.82598 L7a-sm f         
  43.990  0.083   13.825   40.334   41.100  325.095   23.595   7.44  0.00  4   40.116   23.580   7.43 0.76  2.54659  15.1007  3.00460 -0.84058 L4v-sm h         
  43.991  0.073    3.270   40.788   45.439  246.869   24.022   7.41  0.00  4   44.474   24.513   7.90 0.58  4.72401  22.8199  2.80088 -0.34759 L3w-sm c         
  45.674  0.137    1.860   39.421   39.421   -1.433   23.461   7.44 -0.80  4   38.443   24.057   8.04 0.82 22.08065 -13.7463  2.80883 -1.08487 presur f         
  44.820  0.048    1.124   42.691   46.867  196.424   23.742   6.98 -0.80  3   45.885   24.772   8.01 0.70 21.98529 -12.2488  2.46478 -0.89154 presur f         
  44.296  0.134   12.524   38.347   39.500  328.220   23.766   7.77  0.00  4   38.503   23.918   7.92 0.59 21.01430 -17.3088  2.93728 -1.00525 L4p-sm h         
  43.129  0.031    2.316   41.783   44.440  166.547   23.398   6.85 -0.70  4   43.486   24.079   7.53 0.67 13.00041  -8.2638  2.50013  1.05929 L3h-sm f         
  43.885  0.050    4.773   41.686   43.056   65.284   24.276   7.88 -0.80  1   42.076   24.757   8.36 0.15 22.01945 -12.5025  2.62526 -1.01982 presur c         
  42.506  0.020    2.253   41.643   41.644    6.098   23.402   7.17  0.00  4   40.653   23.494   7.26 0.75 21.93586 -14.3173  2.78049 -1.00332 L3q-sm f         
  44.178  0.011    2.912   43.679   44.056  285.002   23.793   7.30  0.00  4   43.102   23.921   7.43 0.68  4.52972  22.0434  2.81928 -0.45477 L3w-sm f         
  42.965  0.020    2.629   42.101   42.606  295.850   24.286   7.93  0.00  2   41.664   24.218   7.86 0.17  7.37584  23.7755  2.88411  0.41880 L3y-sm f         
